lat,lon,cctv_count,police_count,transport_count,crime_official_count,crime_unofficial_count,safety_score,cluster,safety_score
12.82,80.0,0,0,0,0,0,35.0,0,0.483
12.82,80.01,0,0,0,0,0,35.0,0,0.483
12.82,80.02,0,0,0,0,0,35.0,0,0.483
12.82,80.03,0,0,0,0,0,35.0,0,0.483
12.82,80.04,0,0,0,0,0,35.0,0,0.483
12.82,80.05,0,0,0,0,0,35.0,0,0.483
12.82,80.06,0,0,0,0,0,35.0,0,0.483
12.82,80.07,0,0,0,0,0,35.0,0,0.483
12.82,80.08,0,0,0,0,0,35.0,0,0.483
12.82,80.09,0,0,0,0,0,35.0,0,0.483
12.82,80.1,0,0,0,0,0,35.0,0,0.483
12.82,80.11,0,0,0,0,0,35.0,0,0.483
12.82,80.12,0,0,0,0,0,35.0,0,0.483
12.82,80.13,0,0,0,0,0,35.0,0,0.483
12.82,80.14,0,0,0,0,0,35.0,0,0.483
12.82,80.15,0,0,0,0,0,35.0,0,0.483
12.82,80.16,0,0,0,0,0,35.0,0,0.483
12.82,80.17,0,0,0,0,0,35.0,0,0.483
12.82,80.18,0,0,0,0,0,35.0,0,0.483
12.82,80.19,0,0,0,0,0,35.0,0,0.483
12.82,80.2,0,0,0,0,0,35.0,0,0.483
12.82,80.21,0,0,0,0,0,35.0,0,0.483
12.82,80.22,0,0,0,0,0,35.0,0,0.483
12.82,80.23,0,0,0,0,0,35.0,0,0.483
12.82,80.24,0,0,0,0,0,35.0,0,0.483
12.82,80.25,0,0,0,0,0,35.0,0,0.483
12.82,80.26,0,0,0,0,0,35.0,0,0.483
12.82,80.27,0,0,0,0,0,35.0,0,0.483
12.82,80.28,0,0,0,0,0,35.0,0,0.483
12.82,80.29,0,0,0,0,0,35.0,0,0.483
12.82,80.3,0,0,0,0,0,35.0,0,0.483
12.82,80.31,0,0,0,0,0,35.0,0,0.483
12.82,80.32,0,0,0,0,0,35.0,0,0.483
12.83,80.0,0,0,0,0,0,35.0,0,0.483
12.83,80.01,0,0,0,0,0,35.0,0,0.483
12.83,80.02,0,0,0,0,0,35.0,0,0.483
12.83,80.03,0,0,0,0,0,35.0,0,0.483
12.83,80.04,0,0,0,0,0,35.0,0,0.483
12.83,80.05,0,0,0,0,0,35.0,0,0.483
12.83,80.06,0,0,0,0,0,35.0,0,0.483
12.83,80.07,0,0,0,0,0,35.0,0,0.483
12.83,80.08,0,0,0,0,0,35.0,0,0.483
12.83,80.09,0,0,0,0,0,35.0,0,0.483
12.83,80.1,0,0,0,0,0,35.0,0,0.483
12.83,80.11,0,0,0,0,0,35.0,0,0.483
12.83,80.12,0,0,0,0,0,35.0,0,0.483
12.83,80.13,0,0,0,0,0,35.0,0,0.483
12.83,80.14,0,0,0,0,0,35.0,0,0.483
12.83,80.15,0,0,0,0,0,35.0,0,0.483
12.83,80.16,0,0,0,0,0,35.0,0,0.483
12.83,80.17,0,0,0,0,0,35.0,0,0.483
12.83,80.18,0,0,0,0,0,35.0,0,0.483
12.83,80.19,0,0,0,0,0,35.0,0,0.483
12.83,80.2,0,0,0,0,0,35.0,0,0.483
12.83,80.21,0,0,0,0,0,35.0,0,0.483
12.83,80.22,0,0,0,0,0,35.0,0,0.483
12.83,80.23,0,0,0,0,0,35.0,0,0.483
12.83,80.24,0,0,0,0,0,35.0,0,0.483
12.83,80.25,0,0,0,0,0,35.0,0,0.483
12.83,80.26,0,0,0,0,0,35.0,0,0.483
12.83,80.27,0,0,0,0,0,35.0,0,0.483
12.83,80.28,0,0,0,0,0,35.0,0,0.483
12.83,80.29,0,0,0,0,0,35.0,0,0.483
12.83,80.3,0,0,0,0,0,35.0,0,0.483
12.83,80.31,0,0,0,0,0,35.0,0,0.483
12.83,80.32,0,0,0,0,0,35.0,0,0.483
12.84,80.0,0,0,0,0,0,35.0,0,0.483
12.84,80.01,0,0,0,0,0,35.0,0,0.483
12.84,80.02,0,0,0,0,0,35.0,0,0.483
12.84,80.03,0,0,0,0,0,35.0,0,0.483
12.84,80.04,0,0,0,0,0,35.0,0,0.483
12.84,80.05,0,0,0,0,0,35.0,0,0.483
12.84,80.06,0,0,0,0,0,35.0,0,0.483
12.84,80.07,0,0,0,0,0,35.0,0,0.483
12.84,80.08,0,0,0,0,0,35.0,0,0.483
12.84,80.09,0,0,0,0,0,35.0,0,0.483
12.84,80.1,0,0,0,0,0,35.0,0,0.483
12.84,80.11,0,0,0,0,0,35.0,0,0.483
12.84,80.12,0,0,0,0,0,35.0,0,0.483
12.84,80.13,0,0,0,0,0,35.0,0,0.483
12.84,80.14,0,0,0,0,0,35.0,0,0.483
12.84,80.15,0,0,0,0,0,35.0,0,0.483
12.84,80.16,0,0,0,0,0,35.0,0,0.483
12.84,80.17,0,0,0,0,0,35.0,0,0.483
12.84,80.18,0,0,0,0,0,35.0,0,0.483
12.84,80.19,0,0,0,0,0,35.0,0,0.483
12.84,80.2,0,0,0,0,0,35.0,0,0.483
12.84,80.21,0,0,0,0,0,35.0,0,0.483
12.84,80.22,0,0,0,0,0,35.0,0,0.483
12.84,80.23,0,0,0,0,0,35.0,0,0.483
12.84,80.24,0,0,0,0,0,35.0,0,0.483
12.84,80.25,0,0,0,0,0,35.0,0,0.483
12.84,80.26,0,0,0,0,0,35.0,0,0.483
12.84,80.27,0,0,0,0,0,35.0,0,0.483
12.84,80.28,0,0,0,0,0,35.0,0,0.483
12.84,80.29,0,0,0,0,0,35.0,0,0.483
12.84,80.3,0,0,0,0,0,35.0,0,0.483
12.84,80.31,0,0,0,0,0,35.0,0,0.483
12.84,80.32,0,0,0,0,0,35.0,0,0.483
12.85,80.0,0,0,0,0,0,35.0,0,0.483
12.85,80.01,0,0,0,0,0,35.0,0,0.483
12.85,80.02,0,0,0,0,0,35.0,0,0.483
12.85,80.03,0,0,0,0,0,35.0,0,0.483
12.85,80.04,0,0,0,0,0,35.0,0,0.483
12.85,80.05,0,0,0,0,0,35.0,0,0.483
12.85,80.06,0,0,0,0,0,35.0,0,0.483
12.85,80.07,0,0,0,0,0,35.0,0,0.483
12.85,80.08,0,0,0,0,0,35.0,0,0.483
12.85,80.09,0,0,0,0,0,35.0,0,0.483
12.85,80.1,0,0,0,0,0,35.0,0,0.483
12.85,80.11,0,0,0,0,0,35.0,0,0.483
12.85,80.12,0,0,0,0,0,35.0,0,0.483
12.85,80.13,0,0,0,0,0,35.0,0,0.483
12.85,80.14,0,0,0,0,0,35.0,0,0.483
12.85,80.15,0,0,0,0,0,35.0,0,0.483
12.85,80.16,0,0,0,0,0,35.0,0,0.483
12.85,80.17,0,0,0,0,0,35.0,0,0.483
12.85,80.18,0,0,0,0,0,35.0,0,0.483
12.85,80.19,0,0,0,0,0,35.0,0,0.483
12.85,80.2,0,0,0,0,0,35.0,0,0.483
12.85,80.21,0,0,0,0,0,35.0,0,0.483
12.85,80.22,0,0,0,0,0,35.0,0,0.483
12.85,80.23,0,0,0,0,0,35.0,0,0.483
12.85,80.24,0,0,0,0,0,35.0,0,0.483
12.85,80.25,0,0,0,0,0,35.0,0,0.483
12.85,80.26,0,0,0,0,0,35.0,0,0.483
12.85,80.27,0,0,0,0,0,35.0,0,0.483
12.85,80.28,0,0,0,0,0,35.0,0,0.483
12.85,80.29,0,0,0,0,0,35.0,0,0.483
12.85,80.3,0,0,0,0,0,35.0,0,0.483
12.85,80.31,0,0,0,0,0,35.0,0,0.483
12.85,80.32,0,0,0,0,0,35.0,0,0.483
12.86,80.0,0,0,0,0,0,35.0,0,0.483
12.86,80.01,0,0,0,0,0,35.0,0,0.483
12.86,80.02,0,0,0,0,0,35.0,0,0.483
12.86,80.03,0,0,0,0,0,35.0,0,0.483
12.86,80.04,0,0,0,0,0,35.0,0,0.483
12.86,80.05,0,0,0,0,0,35.0,0,0.483
12.86,80.06,0,0,0,0,0,35.0,0,0.483
12.86,80.07,0,0,0,0,0,35.0,0,0.483
12.86,80.08,0,0,0,0,0,35.0,0,0.483
12.86,80.09,0,0,0,0,0,35.0,0,0.483
12.86,80.1,0,0,0,0,0,35.0,0,0.483
12.86,80.11,0,0,0,0,0,35.0,0,0.483
12.86,80.12,0,0,0,0,0,35.0,0,0.483
12.86,80.13,0,0,0,0,0,35.0,0,0.483
12.86,80.14,0,0,0,0,0,35.0,0,0.483
12.86,80.15,0,0,0,0,0,35.0,0,0.483
12.86,80.16,0,0,0,0,0,35.0,0,0.483
12.86,80.17,0,0,0,0,0,35.0,0,0.483
12.86,80.18,0,0,0,0,0,35.0,0,0.483
12.86,80.19,0,0,0,0,0,35.0,0,0.483
12.86,80.2,0,0,0,0,0,35.0,0,0.483
12.86,80.21,0,0,0,0,0,35.0,0,0.483
12.86,80.22,0,0,0,0,0,35.0,0,0.483
12.86,80.23,0,0,0,1,1,23.333,0,0.31
12.86,80.24,0,0,2,0,0,37.0,0,0.513
12.86,80.25,0,0,0,0,0,35.0,0,0.483
12.86,80.26,0,0,0,0,0,35.0,0,0.483
12.86,80.27,0,0,0,0,0,35.0,0,0.483
12.86,80.28,0,0,0,0,0,35.0,0,0.483
12.86,80.29,0,0,0,0,0,35.0,0,0.483
12.86,80.3,0,0,0,0,0,35.0,0,0.483
12.86,80.31,0,0,0,0,0,35.0,0,0.483
12.86,80.32,0,0,0,0,0,35.0,0,0.483
12.87,80.0,0,0,0,0,0,35.0,0,0.483
12.87,80.01,0,0,0,0,0,35.0,0,0.483
12.87,80.02,0,0,0,0,0,35.0,0,0.483
12.87,80.03,0,0,0,0,0,35.0,0,0.483
12.87,80.04,0,0,0,0,0,35.0,0,0.483
12.87,80.05,0,0,0,0,0,35.0,0,0.483
12.87,80.06,0,0,0,0,0,35.0,0,0.483
12.87,80.07,0,0,0,0,0,35.0,0,0.483
12.87,80.08,0,0,0,0,0,35.0,0,0.483
12.87,80.09,0,0,0,0,0,35.0,0,0.483
12.87,80.1,0,0,0,0,0,35.0,0,0.483
12.87,80.11,0,0,0,0,0,35.0,0,0.483
12.87,80.12,0,0,0,0,0,35.0,0,0.483
12.87,80.13,0,0,0,0,0,35.0,0,0.483
12.87,80.14,0,0,0,0,0,35.0,0,0.483
12.87,80.15,0,0,0,0,0,35.0,0,0.483
12.87,80.16,0,0,0,0,0,35.0,0,0.483
12.87,80.17,0,0,0,0,0,35.0,0,0.483
12.87,80.18,0,0,0,0,0,35.0,0,0.483
12.87,80.19,0,0,0,0,0,35.0,0,0.483
12.87,80.2,0,0,0,0,0,35.0,0,0.483
12.87,80.21,0,0,0,0,0,35.0,0,0.483
12.87,80.22,0,0,0,0,0,35.0,0,0.483
12.87,80.23,0,0,0,0,0,35.0,0,0.483
12.87,80.24,0,0,2,0,0,37.0,0,0.513
12.87,80.25,0,0,0,0,0,35.0,0,0.483
12.87,80.26,0,0,0,0,0,35.0,0,0.483
12.87,80.27,0,0,0,0,0,35.0,0,0.483
12.87,80.28,0,0,0,0,0,35.0,0,0.483
12.87,80.29,0,0,0,0,0,35.0,0,0.483
12.87,80.3,0,0,0,0,0,35.0,0,0.483
12.87,80.31,0,0,0,0,0,35.0,0,0.483
12.87,80.32,0,0,0,0,0,35.0,0,0.483
12.88,80.0,0,0,0,0,0,35.0,0,0.483
12.88,80.01,0,0,0,0,0,35.0,0,0.483
12.88,80.02,0,0,0,0,0,35.0,0,0.483
12.88,80.03,0,0,0,0,0,35.0,0,0.483
12.88,80.04,0,0,0,0,0,35.0,0,0.483
12.88,80.05,0,0,0,0,0,35.0,0,0.483
12.88,80.06,0,0,0,0,0,35.0,0,0.483
12.88,80.07,0,0,0,0,0,35.0,0,0.483
12.88,80.08,0,0,0,0,0,35.0,0,0.483
12.88,80.09,0,0,0,0,0,35.0,0,0.483
12.88,80.1,0,0,0,0,0,35.0,0,0.483
12.88,80.11,0,0,0,0,0,35.0,0,0.483
12.88,80.12,0,0,0,0,0,35.0,0,0.483
12.88,80.13,0,0,0,0,0,35.0,0,0.483
12.88,80.14,0,0,0,0,0,35.0,0,0.483
12.88,80.15,0,0,0,0,0,35.0,0,0.483
12.88,80.16,0,0,0,0,0,35.0,0,0.483
12.88,80.17,0,0,0,0,0,35.0,0,0.483
12.88,80.18,0,0,0,0,0,35.0,0,0.483
12.88,80.19,0,0,0,0,0,35.0,0,0.483
12.88,80.2,0,0,0,0,0,35.0,0,0.483
12.88,80.21,0,0,0,0,0,35.0,0,0.483
12.88,80.22,0,0,1,0,0,36.0,0,0.498
12.88,80.23,0,0,0,0,0,35.0,0,0.483
12.88,80.24,0,0,1,0,0,36.0,0,0.498
12.88,80.25,0,0,0,0,0,35.0,0,0.483
12.88,80.26,0,0,0,0,0,35.0,0,0.483
12.88,80.27,0,0,0,0,0,35.0,0,0.483
12.88,80.28,0,0,0,0,0,35.0,0,0.483
12.88,80.29,0,0,0,0,0,35.0,0,0.483
12.88,80.3,0,0,0,0,0,35.0,0,0.483
12.88,80.31,0,0,0,0,0,35.0,0,0.483
12.88,80.32,0,0,0,0,0,35.0,0,0.483
12.89,80.0,0,0,0,0,0,35.0,0,0.483
12.89,80.01,0,0,0,0,0,35.0,0,0.483
12.89,80.02,0,0,0,0,0,35.0,0,0.483
12.89,80.03,0,0,0,0,0,35.0,0,0.483
12.89,80.04,0,0,0,0,0,35.0,0,0.483
12.89,80.05,0,0,0,0,0,35.0,0,0.483
12.89,80.06,0,0,0,0,0,35.0,0,0.483
12.89,80.07,0,0,0,0,0,35.0,0,0.483
12.89,80.08,0,0,0,0,0,35.0,0,0.483
12.89,80.09,0,0,0,0,0,35.0,0,0.483
12.89,80.1,0,0,0,0,0,35.0,0,0.483
12.89,80.11,0,0,0,0,0,35.0,0,0.483
12.89,80.12,0,0,0,0,0,35.0,0,0.483
12.89,80.13,0,0,0,0,0,35.0,0,0.483
12.89,80.14,0,0,0,0,0,35.0,0,0.483
12.89,80.15,0,0,0,0,0,35.0,0,0.483
12.89,80.16,0,0,0,0,0,35.0,0,0.483
12.89,80.17,0,0,0,0,0,35.0,0,0.483
12.89,80.18,0,0,1,0,0,36.0,0,0.498
12.89,80.19,0,0,0,0,0,35.0,0,0.483
12.89,80.2,0,0,0,0,0,35.0,0,0.483
12.89,80.21,0,0,1,0,0,36.0,0,0.498
12.89,80.22,0,0,0,0,0,35.0,0,0.483
12.89,80.23,0,0,0,0,0,35.0,0,0.483
12.89,80.24,0,0,0,0,0,35.0,0,0.483
12.89,80.25,0,0,0,0,0,35.0,0,0.483
12.89,80.26,0,0,0,0,0,35.0,0,0.483
12.89,80.27,0,0,0,0,0,35.0,0,0.483
12.89,80.28,0,0,0,0,0,35.0,0,0.483
12.89,80.29,0,0,0,0,0,35.0,0,0.483
12.89,80.3,0,0,0,0,0,35.0,0,0.483
12.89,80.31,0,0,0,0,0,35.0,0,0.483
12.89,80.32,0,0,0,0,0,35.0,0,0.483
12.9,80.0,0,0,0,0,0,35.0,0,0.483
12.9,80.01,0,0,0,0,0,35.0,0,0.483
12.9,80.02,0,0,0,0,0,35.0,0,0.483
12.9,80.03,0,0,0,0,0,35.0,0,0.483
12.9,80.04,0,0,0,0,0,35.0,0,0.483
12.9,80.05,0,0,0,0,0,35.0,0,0.483
12.9,80.06,0,0,0,0,0,35.0,0,0.483
12.9,80.07,0,0,0,0,0,35.0,0,0.483
12.9,80.08,0,0,0,0,0,35.0,0,0.483
12.9,80.09,1,0,0,0,0,35.052,0,0.484
12.9,80.1,1,0,0,0,0,35.052,0,0.484
12.9,80.11,0,0,0,0,0,35.0,0,0.483
12.9,80.12,0,0,0,0,0,35.0,0,0.483
12.9,80.13,0,0,0,0,0,35.0,0,0.483
12.9,80.14,0,0,0,0,0,35.0,0,0.483
12.9,80.15,0,0,0,0,0,35.0,0,0.483
12.9,80.16,1,0,0,0,0,35.052,0,0.484
12.9,80.17,0,0,0,0,0,35.0,0,0.483
12.9,80.18,0,0,0,0,0,35.0,0,0.483
12.9,80.19,0,0,0,0,0,35.0,0,0.483
12.9,80.2,0,0,0,0,0,35.0,0,0.483
12.9,80.21,0,0,0,0,0,35.0,0,0.483
12.9,80.22,0,0,1,1,1,24.333,0,0.325
12.9,80.23,8,1,2,0,0,57.417,2,0.815
12.9,80.24,0,0,0,0,0,35.0,0,0.483
12.9,80.25,0,0,1,0,0,36.0,0,0.498
12.9,80.26,0,0,0,0,0,35.0,0,0.483
12.9,80.27,0,0,0,0,0,35.0,0,0.483
12.9,80.28,0,0,0,0,0,35.0,0,0.483
12.9,80.29,0,0,0,0,0,35.0,0,0.483
12.9,80.3,0,0,0,0,0,35.0,0,0.483
12.9,80.31,0,0,0,0,0,35.0,0,0.483
12.9,80.32,0,0,0,0,0,35.0,0,0.483
12.91,80.0,0,0,0,0,0,35.0,0,0.483
12.91,80.01,0,0,0,0,0,35.0,0,0.483
12.91,80.02,0,0,0,0,0,35.0,0,0.483
12.91,80.03,0,0,0,0,0,35.0,0,0.483
12.91,80.04,0,0,0,0,0,35.0,0,0.483
12.91,80.05,0,0,0,0,0,35.0,0,0.483
12.91,80.06,0,0,0,0,0,35.0,0,0.483
12.91,80.07,0,0,0,0,0,35.0,0,0.483
12.91,80.08,0,0,0,0,0,35.0,0,0.483
12.91,80.09,1,0,0,0,0,35.052,0,0.484
12.91,80.1,1,0,0,0,0,35.052,0,0.484
12.91,80.11,0,0,0,0,0,35.0,0,0.483
12.91,80.12,0,0,0,0,0,35.0,0,0.483
12.91,80.13,0,0,0,0,0,35.0,0,0.483
12.91,80.14,17,0,0,0,0,35.887,0,0.496
12.91,80.15,0,0,0,0,0,35.0,0,0.483
12.91,80.16,4,0,0,0,0,35.209,0,0.486
12.91,80.17,0,0,0,0,0,35.0,0,0.483
12.91,80.18,0,0,0,0,0,35.0,0,0.483
12.91,80.19,17,0,0,0,0,35.887,0,0.496
12.91,80.2,5,0,1,0,0,36.261,0,0.502
12.91,80.21,0,0,0,0,0,35.0,0,0.483
12.91,80.22,1,0,0,0,0,35.052,0,0.484
12.91,80.23,5,0,1,0,0,36.261,0,0.502
12.91,80.24,0,0,0,0,0,35.0,0,0.483
12.91,80.25,2,0,1,0,0,36.104,0,0.499
12.91,80.26,0,0,0,0,0,35.0,0,0.483
12.91,80.27,0,0,0,0,0,35.0,0,0.483
12.91,80.28,0,0,0,0,0,35.0,0,0.483
12.91,80.29,0,0,0,0,0,35.0,0,0.483
12.91,80.3,0,0,0,0,0,35.0,0,0.483
12.91,80.31,0,0,0,0,0,35.0,0,0.483
12.91,80.32,0,0,0,0,0,35.0,0,0.483
12.92,80.0,0,0,0,0,0,35.0,0,0.483
12.92,80.01,0,0,0,0,0,35.0,0,0.483
12.92,80.02,0,0,0,0,0,35.0,0,0.483
12.92,80.03,0,0,0,0,0,35.0,0,0.483
12.92,80.04,1,0,0,0,0,35.052,0,0.484
12.92,80.05,0,0,0,0,0,35.0,0,0.483
12.92,80.06,1,0,0,0,0,35.052,0,0.484
12.92,80.07,0,0,0,0,0,35.0,0,0.483
12.92,80.08,3,0,0,0,0,35.157,0,0.485
12.92,80.09,17,0,0,0,0,35.887,0,0.496
12.92,80.1,1,0,0,0,0,35.052,0,0.484
12.92,80.11,0,0,0,0,0,35.0,0,0.483
12.92,80.12,6,0,0,0,0,35.313,0,0.488
12.92,80.13,20,0,0,0,0,36.043,0,0.498
12.92,80.14,28,0,0,0,0,36.461,0,0.505
12.92,80.15,21,0,0,0,0,36.096,0,0.499
12.92,80.16,5,0,0,0,0,35.261,0,0.487
12.92,80.17,7,0,0,0,0,35.365,0,0.488
12.92,80.18,4,0,0,0,0,35.209,0,0.486
12.92,80.19,18,0,1,0,0,36.939,0,0.512
12.92,80.2,6,0,3,0,0,38.313,0,0.532
12.92,80.21,0,0,0,0,0,35.0,0,0.483
12.92,80.22,0,0,0,0,0,35.0,0,0.483
12.92,80.23,2,0,2,0,0,37.104,0,0.514
12.92,80.24,3,0,0,0,0,35.157,0,0.485
12.92,80.25,2,0,2,0,0,37.104,0,0.514
12.92,80.26,0,0,0,0,0,35.0,0,0.483
12.92,80.27,0,0,0,0,0,35.0,0,0.483
12.92,80.28,0,0,0,0,0,35.0,0,0.483
12.92,80.29,0,0,0,0,0,35.0,0,0.483
12.92,80.3,0,0,0,0,0,35.0,0,0.483
12.92,80.31,0,0,0,0,0,35.0,0,0.483
12.92,80.32,0,0,0,0,0,35.0,0,0.483
12.93,80.0,0,0,0,0,0,35.0,0,0.483
12.93,80.01,0,0,0,0,0,35.0,0,0.483
12.93,80.02,0,0,0,0,0,35.0,0,0.483
12.93,80.03,0,0,0,0,0,35.0,0,0.483
12.93,80.04,0,0,0,0,0,35.0,0,0.483
12.93,80.05,0,0,0,0,0,35.0,0,0.483
12.93,80.06,0,0,0,0,0,35.0,0,0.483
12.93,80.07,0,0,0,0,0,35.0,0,0.483
12.93,80.08,0,0,0,0,0,35.0,0,0.483
12.93,80.09,1,0,0,0,0,35.052,0,0.484
12.93,80.1,1,0,0,0,0,35.052,0,0.484
12.93,80.11,17,0,0,0,0,35.887,0,0.496
12.93,80.12,17,0,0,0,0,35.887,0,0.496
12.93,80.13,12,0,0,0,0,35.626,0,0.492
12.93,80.14,1,0,0,0,0,35.052,0,0.484
12.93,80.15,4,0,0,0,0,35.209,0,0.486
12.93,80.16,0,0,0,0,0,35.0,0,0.483
12.93,80.17,0,0,0,0,0,35.0,0,0.483
12.93,80.18,2,0,0,0,0,35.104,0,0.484
12.93,80.19,1,0,0,0,0,35.052,0,0.484
12.93,80.2,17,0,3,0,0,38.887,0,0.54
12.93,80.21,0,0,0,0,0,35.0,0,0.483
12.93,80.22,0,0,0,0,0,35.0,0,0.483
12.93,80.23,5,0,0,0,0,35.261,0,0.487
12.93,80.24,0,0,0,0,0,35.0,0,0.483
12.93,80.25,0,0,2,0,0,37.0,0,0.513
12.93,80.26,0,0,0,0,0,35.0,0,0.483
12.93,80.27,0,0,0,0,0,35.0,0,0.483
12.93,80.28,0,0,0,0,0,35.0,0,0.483
12.93,80.29,0,0,0,0,0,35.0,0,0.483
12.93,80.3,0,0,0,0,0,35.0,0,0.483
12.93,80.31,0,0,0,0,0,35.0,0,0.483
12.93,80.32,0,0,0,0,0,35.0,0,0.483
12.94,80.0,0,0,0,0,0,35.0,0,0.483
12.94,80.01,0,0,0,0,0,35.0,0,0.483
12.94,80.02,0,0,0,0,0,35.0,0,0.483
12.94,80.03,0,0,0,0,0,35.0,0,0.483
12.94,80.04,0,0,0,0,0,35.0,0,0.483
12.94,80.05,0,0,0,0,0,35.0,0,0.483
12.94,80.06,0,0,0,0,0,35.0,0,0.483
12.94,80.07,0,0,0,0,0,35.0,0,0.483
12.94,80.08,0,0,0,0,0,35.0,0,0.483
12.94,80.09,0,0,0,0,0,35.0,0,0.483
12.94,80.1,1,0,0,0,0,35.052,0,0.484
12.94,80.11,0,0,0,0,0,35.0,0,0.483
12.94,80.12,0,0,0,0,0,35.0,0,0.483
12.94,80.13,4,0,0,0,0,35.209,0,0.486
12.94,80.14,14,0,0,0,0,35.73,0,0.494
12.94,80.15,5,0,0,0,0,35.261,0,0.487
12.94,80.16,3,0,0,0,0,35.157,0,0.485
12.94,80.17,1,0,0,0,0,35.052,0,0.484
12.94,80.18,4,0,1,0,0,36.209,0,0.501
12.94,80.19,1,0,0,0,0,35.052,0,0.484
12.94,80.2,1,0,0,0,0,35.052,0,0.484
12.94,80.21,1,0,2,0,0,37.052,0,0.513
